user_id,date,IN,OUT
74025,10/20/2021,8:08:45 PM,
74025,10/21/2021,1:22:20 PM,
74025,10/22/2021,1:40:57 PM,
74025,10/25/2021,3:19:16 PM,
74025,10/26/2021,10:25:07 AM,
74025,10/27/2021,4:11:01 PM,
74025,10/28/2021,3:21:09 PM,
74025,11/1/2021,1:40:31 PM,
74025,11/4/2021,9:55:19 AM,
74025,11/6/2021,10:20:32 AM,
74025,11/8/2021,12:24:43 PM,
74025,11/9/2021,9:07:09 AM,
74025,11/12/2021,4:00:46 PM,
74025,11/15/2021,10:12:38 AM,
74025,11/22/2021,3:03:32 PM,
74025,11/24/2021,3:28:17 PM,
74025,11/26/2021,4:33:16 PM,
74025,12/9/2021,9:55:14 AM,
74025,12/12/2021,10:02:38 AM,
74025,12/13/2021,3:43:26 PM,
74025,12/16/2021,6:04:15 PM,
74025,12/20/2021,10:02:36 AM,
74025,12/21/2021,10:40:05 AM,
74025,12/22/2021,9:20:00 AM,
74025,12/24/2021,9:37:42 AM,
74025,12/29/2021,1:10:46 PM,
74025,1/3/2022,10:52:41 AM,
74025,1/4/2022,6:09:28 PM,
74025,1/8/2022,1:20:17 PM,
74025,1/14/2022,8:36:11 AM,
74025,1/15/2022,10:31:10 AM,
74025,1/29/2022,9:47:44 AM,
74025,1/31/2022,10:29:12 AM,
74027,10/20/2021,10:29:56 PM,
74027,10/21/2021,3:47:52 PM,12:15:33 AM
74027,10/22/2021,4:15:48 PM,
74027,10/25/2021,1:58:21 PM,9:28:30 PM
74027,10/26/2021,3:34:17 PM,
74027,10/27/2021,3:23:40 PM,9:53:55 PM
74027,10/28/2021,1:25:23 PM,10:17:08 PM
74027,11/1/2021,12:36:16 PM,7:45:25 PM
74027,11/2/2021,3:31:07 PM,
74027,11/3/2021,12:40:33 PM,
74027,11/12/2021,4:00:46 PM,
74027,11/13/2021,6:26:50 PM,10:46:08 PM
74027,11/14/2021,1:08:19 PM,11:46:43 PM
74027,1/29/2022,3:00:21 PM,
74042,10/25/2021,4:02:15 PM,
74042,11/1/2021,7:55:39 AM,3:23:20 PM
74042,11/2/2021,2:48:36 PM,10:02:28 PM
74042,11/3/2021,2:45:09 PM,10:07:46 PM
74042,11/5/2021,2:48:19 PM,10:04:33 PM
74042,11/6/2021,7:44:04 AM,3:23:00 PM
74042,11/8/2021,7:47:13 AM,3:14:11 PM
74042,11/9/2021,7:48:44 AM,3:12:16 PM
74042,11/10/2021,7:49:15 AM,3:13:58 PM
74042,11/11/2021,7:52:25 AM,3:12:05 PM
74042,11/12/2021,7:51:45 AM,3:25:13 PM
74042,11/13/2021,2:32:13 PM,10:03:51 PM
74042,11/14/2021,2:43:01 PM,10:04:31 PM
74042,11/15/2021,7:32:44 AM,3:22:42 PM
74042,11/16/2021,7:47:15 AM,3:14:17 PM
74042,11/17/2021,2:21:44 PM,10:01:49 PM
74042,11/18/2021,3:09:07 PM,10:03:06 PM
74042,11/20/2021,7:50:08 AM,3:15:40 PM
74042,11/21/2021,7:47:32 AM,3:08:52 PM
74042,11/22/2021,7:45:25 AM,3:06:02 PM
74042,11/24/2021,2:50:03 PM,10:02:10 PM
74042,11/25/2021,2:49:13 PM,10:03:11 PM
74042,11/26/2021,2:52:04 PM,10:02:56 PM
74042,11/27/2021,7:57:12 AM,3:11:57 PM
74042,11/29/2021,7:38:48 AM,3:43:26 PM
74042,11/30/2021,7:47:52 AM,4:15:57 PM
74042,12/2/2021,7:45:00 AM,3:35:21 PM
74042,12/3/2021,2:51:07 PM,10:03:45 PM
74042,12/4/2021,7:49:24 AM,3:25:14 PM
74042,12/5/2021,2:47:34 PM,10:02:17 PM
74042,12/6/2021,7:57:37 AM,3:34:39 PM
74042,12/7/2021,2:38:49 PM,10:15:00 PM
74042,12/8/2021,2:42:33 PM,10:02:42 PM
74042,12/9/2021,2:44:15 PM,10:15:05 PM
74042,12/10/2021,2:37:07 PM,10:05:02 PM
74042,12/11/2021,7:44:30 AM,3:03:21 PM
74042,12/13/2021,7:49:53 AM,3:23:13 PM
74042,12/14/2021,2:44:37 PM,10:32:19 PM
74042,12/15/2021,1:48:19 PM,10:12:36 PM
74042,12/16/2021,7:49:43 AM,3:42:50 PM
74042,12/17/2021,7:53:55 AM,3:18:06 PM
74042,12/19/2021,2:50:08 PM,10:07:20 PM
74042,12/20/2021,2:51:25 PM,10:03:20 PM
74042,12/21/2021,2:49:05 PM,10:13:14 PM
74042,12/22/2021,2:53:27 PM,10:10:26 PM
74042,12/23/2021,7:55:00 AM,10:27:54 PM
74042,12/25/2021,8:00:00 AM,10:16:30 PM
74042,12/26/2021,7:28:12 AM,3:41:34 PM
74042,12/27/2021,2:57:04 PM,10:06:00 PM
74042,12/28/2021,2:42:29 PM,10:06:22 PM
74042,12/29/2021,7:44:52 AM,3:26:16 PM
74042,12/31/2021,2:52:59 PM,10:20:31 PM
74042,1/1/2022,7:46:11 AM,3:13:36 PM
74042,1/3/2022,2:49:11 PM,10:21:15 PM
74042,1/5/2022,7:50:35 AM,4:15:39 PM
74042,1/6/2022,7:54:51 AM,3:34:37 PM
74042,1/8/2022,2:43:56 PM,10:10:00 PM
74042,1/9/2022,2:43:05 PM,10:21:00 PM
74042,1/10/2022,2:36:31 PM,10:08:08 PM
74042,1/11/2022,2:50:45 PM,10:09:44 PM
74042,1/12/2022,2:53:24 PM,10:18:49 PM
74042,1/13/2022,2:52:31 PM,10:16:32 PM
74042,1/14/2022,7:41:07 AM,3:37:13 PM
74042,1/15/2022,7:44:16 AM,4:40:35 PM
